index,station_code,city_name,year,month,day,rainfall,period,quality,lat,long,station_name,month_name,date
15020,9151,Perth,2008,2,15,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,February,15-2-2008
15021,9151,Perth,2008,2,16,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,February,16-2-2008
15022,9151,Perth,2008,2,17,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,February,17-2-2008
15023,9151,Perth,2008,2,18,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,February,18-2-2008
15024,9151,Perth,2008,2,19,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,February,19-2-2008
15025,9151,Perth,2008,2,20,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,February,20-2-2008
15026,9151,Perth,2008,2,21,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,February,21-2-2008
15027,9151,Perth,2008,2,22,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,February,22-2-2008
15028,9151,Perth,2008,2,23,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,February,23-2-2008
15029,9151,Perth,2008,2,24,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,February,24-2-2008
15030,9151,Perth,2008,2,25,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,February,25-2-2008
15031,9151,Perth,2008,2,26,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,February,26-2-2008
15032,9151,Perth,2008,2,27,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,February,27-2-2008
15033,9151,Perth,2008,2,28,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,February,28-2-2008
15034,9151,Perth,2008,2,29,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,February,29-2-2008
15035,9151,Perth,2008,3,1,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,March,1-3-2008
15036,9151,Perth,2008,3,2,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,March,2-3-2008
15037,9151,Perth,2008,3,3,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,March,3-3-2008
15038,9151,Perth,2008,3,4,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,March,4-3-2008
15039,9151,Perth,2008,3,5,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,March,5-3-2008
15040,9151,Perth,2008,3,6,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,March,6-3-2008
15041,9151,Perth,2008,3,7,2.9,1.0,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,March,7-3-2008
15042,9151,Perth,2008,3,8,0.0,,Y,-31.96,115.79,Subiaco Wastewater Treatment Plant,March,8-3-2008
